OrderId,CustomerId,Date
1,181,2018-01-01
2,119,2018-01-01
3,69,2018-01-01
4,173,2018-01-01
5,237,2018-01-01
6,238,2018-01-01
7,154,2018-01-01
8,69,2018-01-01
9,35,2018-01-01
10,175,2018-01-01
11,299,2018-01-01
12,205,2018-01-01
13,376,2018-01-01
14,297,2018-01-01
15,22,2018-01-01
16,244,2018-01-01
17,246,2018-01-02
18,41,2018-01-02
19,258,2018-01-02
20,114,2018-01-02
21,208,2018-01-02
22,74,2018-01-02
23,346,2018-01-02
24,255,2018-01-02
25,102,2018-01-02
26,286,2018-01-02
27,376,2018-01-03
28,260,2018-01-03
29,248,2018-01-03
30,284,2018-01-03
31,43,2018-01-03
32,39,2018-01-03
33,189,2018-01-03
34,5,2018-01-03
35,51,2018-01-03
36,301,2018-01-03
37,152,2018-01-03
38,145,2018-01-03
39,354,2018-01-03
40,85,2018-01-03
41,15,2018-01-03
42,338,2018-01-04
43,103,2018-01-04
44,352,2018-01-04
45,115,2018-01-04
46,65,2018-01-04
47,332,2018-01-04
48,390,2018-01-04
49,374,2018-01-04
50,345,2018-01-04
51,305,2018-01-04
52,331,2018-01-04
53,295,2018-01-04
54,236,2018-01-04
55,89,2018-01-04
56,61,2018-01-04
57,37,2018-01-04
58,98,2018-01-04
59,57,2018-01-04
60,70,2018-01-04
61,47,2018-01-04
62,395,2018-01-04
63,89,2018-01-04
64,83,2018-01-04
65,284,2018-01-05
66,20,2018-01-05
67,100,2018-01-05
68,71,2018-01-05
69,119,2018-01-05
70,388,2018-01-05
71,330,2018-01-05
72,274,2018-01-05
73,79,2018-01-05
74,118,2018-01-05
75,37,2018-01-05
76,326,2018-01-05
77,64,2018-01-06
78,280,2018-01-06
79,107,2018-01-06
80,293,2018-01-06
81,243,2018-01-06
82,271,2018-01-06
83,199,2018-01-06
84,221,2018-01-06
85,222,2018-01-06
86,114,2018-01-06
87,187,2018-01-06
88,233,2018-01-06
89,290,2018-01-06
90,77,2018-01-06
91,154,2018-01-06
92,356,2018-01-06
93,140,2018-01-06
94,19,2018-01-06
95,126,2018-01-06
96,392,2018-01-07
97,3,2018-01-07
98,346,2018-01-07
99,71,2018-01-07
100,144,2018-01-07
101,272,2018-01-07
102,14,2018-01-07
103,23,2018-01-07
104,139,2018-01-07
105,397,2018-01-07
106,291,2018-01-07
107,279,2018-01-07
108,92,2018-01-07
109,1,2018-01-07
110,212,2018-01-07
111,184,2018-01-08
112,167,2018-01-08
113,296,2018-01-08
114,276,2018-01-08
115,27,2018-01-08
116,262,2018-01-08
117,45,2018-01-08
118,147,2018-01-08
119,221,2018-01-08
120,81,2018-01-08
121,112,2018-01-09
122,20,2018-01-09
123,283,2018-01-10
124,236,2018-01-10
125,53,2018-01-10
126,363,2018-01-10
127,327,2018-01-10
128,252,2018-01-10
129,75,2018-01-10
130,257,2018-01-10
131,356,2018-01-11
132,103,2018-01-11
133,264,2018-01-11
134,241,2018-01-11
135,226,2018-01-11
136,381,2018-01-11
137,43,2018-01-11
138,260,2018-01-11
139,15,2018-01-11
140,63,2018-01-11
141,88,2018-01-11
142,135,2018-01-11
143,255,2018-01-11
144,239,2018-01-12
145,101,2018-01-12
146,368,2018-01-12
147,236,2018-01-12
148,69,2018-01-12
149,145,2018-01-13
150,153,2018-01-13
151,294,2018-01-13
152,207,2018-01-13
153,45,2018-01-13
154,185,2018-01-13
155,261,2018-01-13
156,328,2018-01-13
157,115,2018-01-13
158,215,2018-01-13
159,303,2018-01-13
160,71,2018-01-13
161,227,2018-01-13
162,322,2018-01-13
163,15,2018-01-13
164,255,2018-01-13
165,5,2018-01-13
166,48,2018-01-13
167,356,2018-01-13
168,134,2018-01-13
169,75,2018-01-13
170,294,2018-01-13
171,184,2018-01-13
172,41,2018-01-13
173,176,2018-01-13
174,321,2018-01-13
175,58,2018-01-14
176,233,2018-01-14
177,70,2018-01-14
178,318,2018-01-14
179,215,2018-01-14
180,153,2018-01-14
181,236,2018-01-14
182,128,2018-01-14
183,155,2018-01-14
184,204,2018-01-14
185,397,2018-01-14
186,38,2018-01-14
187,357,2018-01-14
188,222,2018-01-14
189,79,2018-01-14
190,33,2018-01-14
191,244,2018-01-14
192,78,2018-01-14
193,189,2018-01-14
194,348,2018-01-14
195,69,2018-01-14
196,95,2018-01-14
197,177,2018-01-14
198,13,2018-01-14
199,356,2018-01-14
200,85,2018-01-14
201,298,2018-01-15
202,301,2018-01-15
203,322,2018-01-15
204,390,2018-01-15
205,222,2018-01-15
206,95,2018-01-15
207,287,2018-01-15
208,178,2018-01-15
209,161,2018-01-15
210,134,2018-01-15
211,89,2018-01-15
212,334,2018-01-15
213,177,2018-01-15
214,322,2018-01-15
215,264,2018-01-16
216,394,2018-01-16
217,388,2018-01-16
218,390,2018-01-16
219,155,2018-01-16
220,112,2018-01-16
221,64,2018-01-16
222,132,2018-01-16
223,112,2018-01-16
224,355,2018-01-16
225,342,2018-01-16
226,173,2018-01-16
227,148,2018-01-16
228,243,2018-01-16
229,253,2018-01-16
230,349,2018-01-16
231,131,2018-01-16
232,53,2018-01-16
233,235,2018-01-16
234,7,2018-01-16
235,256,2018-01-16
236,203,2018-01-16
237,6,2018-01-16
238,310,2018-01-16
239,29,2018-01-17
240,287,2018-01-17
241,300,2018-01-18
242,86,2018-01-18
243,12,2018-01-19
244,35,2018-01-20
245,104,2018-01-20
246,133,2018-01-20
247,47,2018-01-20
248,32,2018-01-20
249,365,2018-01-20
250,113,2018-01-20
251,218,2018-01-20
252,55,2018-01-20
253,161,2018-01-20
254,209,2018-01-20
255,120,2018-01-20
256,347,2018-01-21
257,313,2018-01-21
258,11,2018-01-21
259,285,2018-01-21
260,247,2018-01-21
261,324,2018-01-21
262,358,2018-01-21
263,214,2018-01-21
264,69,2018-01-21
265,314,2018-01-21
266,86,2018-01-21
267,184,2018-01-21
268,274,2018-01-21
269,8,2018-01-21
270,199,2018-01-21
271,216,2018-01-21
272,71,2018-01-21
273,190,2018-01-21
274,310,2018-01-21
275,269,2018-01-21
276,382,2018-01-21
277,124,2018-01-21
278,217,2018-01-21
279,358,2018-01-21
280,283,2018-01-22
281,336,2018-01-22
282,247,2018-01-22
283,322,2018-01-22
284,230,2018-01-22
285,298,2018-01-22
286,130,2018-01-22
287,146,2018-01-22
288,378,2018-01-22
289,320,2018-01-22
290,228,2018-01-22
291,139,2018-01-22
292,74,2018-01-22
293,257,2018-01-22
294,391,2018-01-23
295,348,2018-01-23
296,355,2018-01-23
297,65,2018-01-23
298,377,2018-01-23
299,3,2018-01-23
300,208,2018-01-23
301,118,2018-01-23
302,136,2018-01-23
303,83,2018-01-23
304,308,2018-01-23
305,50,2018-01-23
306,201,2018-01-23
307,15,2018-01-23
308,197,2018-01-23
309,70,2018-01-23
310,146,2018-01-23
311,193,2018-01-23
312,267,2018-01-23
313,198,2018-01-23
314,189,2018-01-23
315,71,2018-01-23
316,78,2018-01-23
317,244,2018-01-23
318,264,2018-01-23
319,130,2018-01-23
320,170,2018-01-23
321,101,2018-01-23
322,52,2018-01-23
323,148,2018-01-24
324,163,2018-01-24
325,358,2018-01-24
326,329,2018-01-24
327,372,2018-01-24
328,196,2018-01-24
329,19,2018-01-24
330,86,2018-01-24
331,106,2018-01-24
332,122,2018-01-24
333,11,2018-01-24
334,3,2018-01-24
335,20,2018-01-24
336,310,2018-01-24
337,321,2018-01-24
338,69,2018-01-25
339,2,2018-01-25
340,198,2018-01-25
341,65,2018-01-25
342,304,2018-01-25
343,71,2018-01-25
344,381,2018-01-25
345,15,2018-01-25
346,41,2018-01-25
347,21,2018-01-25
348,321,2018-01-25
349,396,2018-01-25
350,326,2018-01-25
351,208,2018-01-25
352,86,2018-01-25
353,27,2018-01-25
354,316,2018-01-25
355,130,2018-01-25
356,191,2018-01-25
357,334,2018-01-25
358,77,2018-01-26
359,21,2018-01-26
360,47,2018-01-26
361,309,2018-01-26
362,189,2018-01-26
363,114,2018-01-26
364,191,2018-01-26
365,26,2018-01-26
366,137,2018-01-26
367,303,2018-01-26
368,396,2018-01-26
369,328,2018-01-27
370,85,2018-01-27
371,135,2018-01-27
372,151,2018-01-27
373,358,2018-01-27
374,128,2018-01-27
375,364,2018-01-27
376,297,2018-01-27
377,108,2018-01-27
378,253,2018-01-27
379,65,2018-01-27
380,185,2018-01-27
381,287,2018-01-27
382,210,2018-01-27
383,358,2018-01-27
384,190,2018-01-27
385,295,2018-01-27
386,246,2018-01-28
387,87,2018-01-28
388,232,2018-01-28
389,184,2018-01-28
390,352,2018-01-28
391,330,2018-01-28
392,203,2018-01-28
393,128,2018-01-28
394,391,2018-01-28
395,343,2018-01-28
396,146,2018-01-28
397,27,2018-01-28
398,383,2018-01-28
399,81,2018-01-28
400,308,2018-01-28
401,223,2018-01-28
402,102,2018-01-28
403,201,2018-01-28
404,53,2018-01-28
405,84,2018-01-28
406,287,2018-01-28
407,280,2018-01-28
408,325,2018-01-28
409,136,2018-01-28
410,139,2018-01-28
411,351,2018-01-28
412,280,2018-01-28
413,53,2018-01-28
414,182,2018-01-28
415,379,2018-01-28
416,168,2018-01-29
417,45,2018-01-29
418,158,2018-01-29
419,82,2018-01-29
420,338,2018-01-29
421,93,2018-01-29
422,338,2018-01-29
423,232,2018-01-29
424,262,2018-01-29
425,238,2018-01-29
426,60,2018-01-29
427,247,2018-01-29
428,340,2018-01-30
429,196,2018-01-30
430,65,2018-01-30
431,181,2018-01-30
432,196,2018-01-30
433,10,2018-01-30
434,27,2018-01-30
435,233,2018-01-30
436,60,2018-01-30
437,85,2018-01-30
438,51,2018-01-30
439,21,2018-01-30
440,33,2018-01-30
441,182,2018-01-30
442,360,2018-01-30
443,387,2018-01-30
444,36,2018-01-30
445,262,2018-01-30
446,356,2018-01-30
447,356,2018-01-31
448,347,2018-01-31
449,108,2018-01-31
450,2,2018-01-31
451,72,2018-01-31
452,223,2018-01-31
453,134,2018-01-31
454,165,2018-01-31
455,107,2018-01-31
456,265,2018-01-31
457,309,2018-01-31
458,259,2018-01-31
459,33,2018-01-31
460,164,2018-01-31
461,93,2018-01-31
462,172,2018-01-31
463,97,2018-01-31
464,252,2018-01-31
465,140,2018-01-31
466,147,2018-01-31
467,216,2018-01-31
468,392,2018-01-31
469,112,2018-02-01
470,192,2018-02-01
471,41,2018-02-01
472,399,2018-02-01
473,341,2018-02-01
474,147,2018-02-02
475,175,2018-02-02
476,162,2018-02-02
477,141,2018-02-02
478,273,2018-02-02
479,359,2018-02-02
480,399,2018-02-02
481,240,2018-02-02
482,90,2018-02-02
483,89,2018-02-02
484,215,2018-02-02
485,10,2018-02-02
486,93,2018-02-02
487,121,2018-02-02
488,125,2018-02-02
489,397,2018-02-02
490,179,2018-02-02
491,1,2018-02-02
492,354,2018-02-02
493,214,2018-02-02
494,298,2018-02-02
495,101,2018-02-02
496,7,2018-02-02
497,192,2018-02-02
498,81,2018-02-02
499,122,2018-02-02
500,353,2018-02-02
501,60,2018-02-02
502,314,2018-02-02
503,341,2018-02-02
504,110,2018-02-03
505,158,2018-02-03
506,289,2018-02-03
507,167,2018-02-03
508,148,2018-02-03
509,272,2018-02-03
510,82,2018-02-03
511,230,2018-02-03
512,392,2018-02-03
513,167,2018-02-03
514,73,2018-02-03
515,107,2018-02-03
516,207,2018-02-03
517,79,2018-02-03
518,180,2018-02-04
519,268,2018-02-04
520,49,2018-02-04
521,368,2018-02-04
522,134,2018-02-04
523,250,2018-02-04
524,383,2018-02-05
525,67,2018-02-05
526,52,2018-02-05
527,134,2018-02-05
528,294,2018-02-06
529,310,2018-02-06
530,98,2018-02-06
531,278,2018-02-06
532,330,2018-02-06
533,71,2018-02-06
534,347,2018-02-06
535,331,2018-02-06
536,204,2018-02-06
537,396,2018-02-06
538,375,2018-02-06
539,142,2018-02-06
540,293,2018-02-06
541,157,2018-02-06
542,231,2018-02-06
543,326,2018-02-06
544,324,2018-02-06
545,107,2018-02-06
546,301,2018-02-06
547,11,2018-02-07
548,342,2018-02-07
549,254,2018-02-07
550,10,2018-02-07
551,115,2018-02-07
552,77,2018-02-07
553,194,2018-02-07
554,256,2018-02-07
555,119,2018-02-07
556,270,2018-02-07
557,97,2018-02-07
558,209,2018-02-07
559,35,2018-02-07
560,238,2018-02-07
561,152,2018-02-07
562,53,2018-02-07
563,5,2018-02-07
564,273,2018-02-07
